               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12169,            0.018314,            0.031863,           0.0021693,             0.54167,            0.011175,           0.0025903,             0.12557,            0.012824,            0.030377,              0.0973,              0.0003,              0.0003
                   1,             0.12039,            0.018096,            0.030999,           0.0023719,             0.41667,            0.030674,           0.0040289,             0.11731,            0.013376,            0.029529,            0.093688,          0.00068845,          0.00068845
                   2,             0.11273,             0.02156,            0.030796,           0.0020861,            0.083333,             0.04437,           0.0097764,            0.097235,            0.014636,            0.028687,            0.090064,           0.0010637,           0.0010637
                   3,            0.096508,            0.022319,            0.029556,           0.0029556,                0.75,            0.015871,           0.0085828,            0.084463,            0.015609,            0.027649,            0.086426,           0.0014257,           0.0014257
                   4,            0.089934,            0.025044,            0.028582,           0.0033535,             0.83333,            0.010633,           0.0027224,            0.079188,            0.016099,            0.026544,            0.082775,           0.0017746,           0.0017746
                   5,            0.087421,            0.027159,            0.027145,           0.0033494,             0.83333,           0.0090361,           0.0029883,            0.075726,            0.016122,            0.025165,             0.07911,           0.0021103,           0.0021103
                   6,            0.085959,            0.026747,            0.026827,            0.002937,                0.75,            0.014819,            0.005766,             0.06927,            0.016544,            0.024628,            0.075433,           0.0024327,           0.0024327
                   7,            0.079546,            0.028252,            0.026107,           0.0033374,             0.83333,            0.025377,           0.0077256,            0.067606,            0.016088,            0.023468,            0.071742,            0.002742,            0.002742
                   8,            0.074504,            0.028171,            0.024618,           0.0033369,             0.83333,            0.064896,            0.016141,            0.065642,            0.015785,            0.021643,            0.068038,            0.003038,            0.003038
                   9,            0.073395,             0.02657,            0.023896,           0.0037384,             0.91667,             0.12198,            0.033788,            0.061625,            0.015787,            0.019925,            0.064321,           0.0033208,           0.0033208
                  10,            0.071181,            0.026078,            0.022706,           0.0037384,             0.91667,             0.26755,            0.061763,            0.063289,            0.014924,            0.019696,             0.06059,           0.0035905,           0.0035905
                  11,            0.066233,            0.027819,            0.022313,           0.0091073,             0.83333,            0.088068,            0.032914,            0.064421,            0.014265,            0.019302,            0.056847,            0.003847,            0.003847
                  12,            0.065926,            0.026105,            0.021867,             0.22488,             0.59569,             0.27394,            0.074701,            0.067626,            0.013426,            0.018549,             0.05309,           0.0040902,           0.0040902
                  13,            0.064378,            0.027076,            0.021073,             0.46108,             0.47875,              0.4691,             0.15243,            0.057649,            0.014171,            0.018707,             0.04932,           0.0043202,           0.0043202
                  14,             0.05926,             0.02529,            0.019538,             0.39847,                0.75,             0.58153,             0.22773,            0.059107,            0.012464,            0.018878,            0.045537,           0.0045371,           0.0045371
                  15,            0.057463,            0.024842,             0.01939,             0.73899,             0.60442,             0.57211,             0.20625,            0.058988,            0.012476,            0.018964,            0.041741,           0.0047408,           0.0047408
                  16,            0.059702,            0.026183,            0.018867,             0.41706,             0.62239,             0.55033,             0.19047,            0.059576,            0.011749,            0.020197,            0.037931,           0.0049312,           0.0049312
                  17,            0.056505,            0.023443,            0.017162,             0.42402,               0.625,             0.55495,             0.27021,            0.060496,            0.011701,            0.020105,            0.034108,           0.0051084,           0.0051084
                  18,            0.057411,            0.024392,            0.016969,             0.56458,             0.54167,             0.47488,             0.22935,            0.062973,            0.011811,            0.019788,            0.030272,           0.0052725,           0.0052725
                  19,            0.060828,            0.022146,            0.015936,             0.65164,             0.55777,              0.6294,             0.25334,            0.064424,            0.011707,            0.019583,            0.026423,           0.0054234,           0.0054234
                  20,            0.055861,            0.023337,            0.015629,             0.73028,             0.58986,             0.50709,             0.23575,            0.070853,            0.012128,            0.017972,            0.022561,            0.005561,            0.005561
                  21,             0.06605,             0.02383,            0.014292,             0.60068,             0.59887,             0.55918,             0.17196,            0.062998,            0.012214,            0.015515,            0.018685,           0.0056854,           0.0056854
                  22,            0.050702,             0.02048,            0.013402,             0.74528,             0.62583,              0.7157,               0.237,            0.070018,            0.011191,            0.013617,            0.014797,           0.0057967,           0.0057967
                  23,            0.065549,            0.020216,            0.012298,             0.44301,             0.79842,             0.56877,              0.1885,            0.068231,            0.011031,            0.012117,            0.010895,           0.0058948,           0.0058948
                  24,            0.061004,            0.022647,            0.011203,             0.69265,             0.54167,             0.61949,             0.32447,            0.060421,             0.01067,            0.010666,           0.0069796,           0.0059796,           0.0059796
                  25,            0.059722,            0.021724,            0.010687,             0.68031,             0.83333,             0.71076,             0.26257,            0.061743,           0.0098782,             0.01069,            0.005875,            0.005875,            0.005875
                  26,            0.060623,            0.018501,           0.0095189,              0.5306,             0.58726,             0.58184,             0.18052,            0.060956,            0.010028,             0.01102,            0.005875,            0.005875,            0.005875
                  27,             0.05681,             0.02126,           0.0085861,             0.71537,             0.80327,             0.71668,             0.30849,            0.056551,           0.0092786,            0.011781,             0.00571,             0.00571,             0.00571
                  28,             0.05298,            0.020232,           0.0070709,             0.68085,               0.625,             0.65409,             0.29888,            0.056571,           0.0091295,             0.01288,            0.005545,            0.005545,            0.005545
                  29,            0.055733,             0.02173,           0.0069585,              0.7063,             0.82249,             0.66536,             0.31028,            0.057205,           0.0087766,            0.013104,             0.00538,             0.00538,             0.00538
                  30,            0.054574,            0.022327,           0.0063904,             0.47665,             0.66931,              0.5589,              0.2949,            0.059061,           0.0083922,             0.01295,            0.005215,            0.005215,            0.005215
                  31,            0.053371,            0.018515,           0.0056716,              0.8693,             0.81969,             0.77558,             0.36223,             0.05277,           0.0084317,            0.012303,             0.00505,             0.00505,             0.00505
                  32,            0.048649,            0.020056,            0.005486,             0.57661,             0.74716,             0.61255,             0.34168,            0.053499,           0.0083946,            0.011742,            0.004885,            0.004885,            0.004885
                  33,            0.050804,             0.02093,           0.0046463,             0.58402,             0.83333,             0.68376,              0.3874,            0.052927,           0.0081617,            0.011818,             0.00472,             0.00472,             0.00472
                  34,            0.051129,            0.020034,           0.0054059,              0.6024,             0.83333,             0.71416,             0.47425,            0.052197,            0.008152,            0.011134,            0.004555,            0.004555,            0.004555
                  35,            0.050242,             0.01913,            0.005743,             0.53152,             0.81708,               0.584,             0.26653,            0.054324,           0.0078772,            0.011249,             0.00439,             0.00439,             0.00439
                  36,            0.050117,            0.016509,           0.0046872,             0.58357,                0.75,             0.66062,             0.37455,            0.045485,           0.0080416,            0.011234,            0.004225,            0.004225,            0.004225
                  37,            0.041917,            0.018817,           0.0043164,              0.5512,             0.78696,             0.61817,             0.32082,            0.052761,           0.0077507,            0.010957,             0.00406,             0.00406,             0.00406
                  38,            0.047477,            0.017743,           0.0048186,             0.53837,             0.76039,             0.71912,             0.38178,            0.045975,           0.0078676,            0.010772,            0.003895,            0.003895,            0.003895
                  39,            0.045955,            0.018681,           0.0045327,             0.59572,             0.83333,             0.72876,             0.36124,            0.046796,           0.0078192,            0.010488,             0.00373,             0.00373,             0.00373
                  40,            0.043897,            0.019619,           0.0038192,             0.66343,             0.79878,              0.7624,             0.44526,            0.045893,           0.0078837,            0.010443,            0.003565,            0.003565,            0.003565
                  41,            0.048176,            0.015644,           0.0042464,             0.60832,             0.83333,              0.7069,             0.42215,            0.044145,           0.0078482,            0.010654,              0.0034,              0.0034,              0.0034
                  42,            0.040276,            0.017277,           0.0046421,             0.62933,             0.83333,             0.71865,             0.46428,            0.042745,           0.0079119,            0.010503,            0.003235,            0.003235,            0.003235
                  43,            0.042891,            0.017115,           0.0027458,             0.66981,             0.83333,             0.74972,             0.43911,            0.043462,           0.0078522,            0.010314,             0.00307,             0.00307,             0.00307
                  44,            0.041884,            0.016094,           0.0040992,             0.72187,                0.75,             0.78798,             0.43394,             0.04313,           0.0078522,            0.010079,            0.002905,            0.002905,            0.002905
                  45,            0.040045,            0.017345,           0.0030252,             0.73332,                0.75,             0.73871,             0.42862,            0.043217,           0.0078305,            0.010191,             0.00274,             0.00274,             0.00274
                  46,            0.038303,            0.016165,           0.0027438,             0.71312,             0.83333,             0.82669,             0.44834,            0.041509,           0.0078498,            0.010193,            0.002575,            0.002575,            0.002575
                  47,            0.039398,            0.017239,           0.0028975,             0.66294,             0.83333,             0.78385,             0.50432,            0.041418,           0.0079796,             0.01003,             0.00241,             0.00241,             0.00241
                  48,            0.039944,            0.014864,           0.0029334,             0.70866,             0.83333,             0.77647,              0.4278,            0.040803,           0.0079328,            0.010114,            0.002245,            0.002245,            0.002245
